Program,Companies,Status,Recipient Type,Start Date,End Date,Tech Category,Tagline,Outcome,Comments
IDEAS,United Technologies Research Center (UTRC),ALUMNI,For-profit,4/1/17,3/31/18,Manufacturing Efficiency,Design of Ultra-Efficient Thermal-Fluid Components,Pivot,"research project, kind of dead"
IDEAS,United Technologies Research Center (UTRC),ALUMNI,For-profit,7/2/15,7/1/16,Storage,High Performance Transportation Redox-Air Flow Cells,Pivot,Went back to grid stuff?
IDEAS,"University of California, San Diego (UC San Diego)",ALUMNI,Non-profit,4/1/14,8/31/15,Storage,Novel Electrolytes,Persist,
IDEAS,"University of Colorado, Boulder (CU-Boulder)",ALUMNI,Non-profit,10/15/15,8/14/17,Transportation Vehicles,Capacitive Wireless Power System,Pivot,
IDEAS,University of Maryland (UMD),ALUMNI,Non-profit,4/14/16,4/13/17,Storage,Current Collectors for Aqueous Batteries,Persist,"New funding, def a research project"
IDEAS,University of Maryland (UMD),ALUMNI,Non-profit,2/13/15,2/12/16,Electrical Efficiency,High-Capacity Carbon Wires,Perish,"couldn't find directly related publications, had another DELTA project later"
IDEAS,University of Maryland (UMD),ALUMNI,Non-profit,7/25/14,10/24/15,Manufacturing Efficiency,Next-Generation Air-Cooled Heat Exchangers,Pivot,
IDEAS,University of Michigan,ALUMNI,Non-profit,1/1/15,3/31/16,Distributed Generation,Benchtop Growth of High Quality Thin Film Photovoltaics,Pivot,"using hybrid electrodeposition, but for many things not just PV"
IDEAS,"University of Nebraska, Lincoln (UNL)",ALUMNI,Non-profit,9/1/16,8/31/17,Electrical Efficiency,Electromagnetic Induction Power Converter,Pivot,"University patent, recent work very different"
IDEAS,University of Tennessee (UT),ALUMNI,Non-profit,11/10/16,3/19/18,Manufacturing Efficiency,Reversible Air Batteries,Perish,"No publications related to this, has a DAY program for fuel cells"
IMPACCT,Alliant Techsystems (ATK),ALUMNI,For-profit,7/1/10,6/30/13,Resource Efficiency,Supersonic Technology for CO2 Capture,Perish,Bought by northrup grumman
IMPACCT,Codexis,ALUMNI,For-profit,7/1/10,6/30/12,Resource Efficiency,Better Enzymes for Carbon Capture,Pivot,
IMPACCT,Columbia University,ALUMNI,Non-profit,7/16/10,1/15/14,Resource Efficiency,Chemically Accelerated Carbon Mineralization,Pivot,"seems to be continuing the research, not many specifics in the proposal description"
IMPACCT,General Electric (GE) Global Research,ALUMNI,For-profit,10/1/10,9/30/13,Resource Efficiency,CO2 Capture with Liquid-to-Solid Absorbents,Perish,"In NETL doc, GE reorg killed it"
IMPACCT,Georgia Tech Research Corporation,ALUMNI,Non-profit,7/1/10,10/31/12,Resource Efficiency,Composite Membranes for CO2 Capture,Pivot,"others got follow-on funding, was it different?"
IMPACCT,Lawrence Livermore National Laboratory (LLNL),ALUMNI,Non-profit,8/15/10,12/31/14,Resource Efficiency,Synthetic Catalysts for CO2 Storage,Pivot,"Still working on the microcapsules, have some patents"
IMPACCT,Massachusetts Institute of Technology (MIT),ALUMNI,Non-profit,7/1/10,1/31/13,Resource Efficiency,CO2 Capture Using Electrical Energy,Perish,"Different research direction, Siemens not selling, not licensing MIT patent"
IMPACCT,Oak Ridge National Laboratory (ORNL),ALUMNI,Non-profit,7/1/10,8/15/13,Resource Efficiency,High Surface-Area CO2 Sponge,Pivot,"Some research in CO2 capture, but totally different tech"
IMPACCT,Research Triangle Institute (RTI),ALUMNI,Non-profit,7/1/10,9/30/13,Resource Efficiency,CO2 Capture and Regeneration at Low Temperatures,Persist,This was exploratory research
